sl_no,judge_name,states,districts
250,J N Patel Patel,,Koppal
251,J Pardiwala,,Mandya
252,J S Klar,,Mysore
253,J Sekhon,,Raichur
254,Janak Raj Kotwal,,Ramanagara
255,Jarat Kumar Jain,,Shimoga
256,Jasbir Singh,,Tumakuru
257,Jaspal Singh,,Udupi
258,Jawad Rahimawad Rahim,,Uttara Kannada
259,Jaya Roy,,Bijapur
260,Jayanandan Singh,,Yadgir
261,Jayant Nathayant Nath,,Alappuzha
262,Jitendra Chauhan,,Ernakulam
263,John Michael Cunhaohn,,Idukki
264,Jora Singh,,Kannur
265,Jyoti Saran,,Kasaragod
266,Jyotirmay Bhattacharya,,Kollam
267,K A Mohamed Shafi,,Kottayam
268,K Abraham Mathew,,Kozhikode
269,K B Nair,,Malappuram
270,K Bhatt,,Palakkad
271,K C Puri,,Pathanamthitta
272,K Chandru,,Thrissur
273,K G Balakrishnan,,Thiruvananthapuram
274,K Joseph,,Wayanad
275,K K Sasidharan,,Agar Malwa
276,K K Trivedi,,Alirajpur
277,K Kalyanasundaram,,Anuppur
278,K L Manjunath,,Ashok Nagar
279,K L Vastava,,Balaghat
280,K M Joseph,,Barwani
281,K M Shafi,,Betul
282,K M Thaker,,Bhind
283,K N Keshavanarayana,,Bhopal
284,K N Phaneendra,,Burhanpur
285,K Natarajan,,Chachaura-Binaganj
286,K Puj,,Chhatarpur
287,K Radhakrishnan,,Chhindwara
288,K Ramamoorthy,,Damoh
289,K Rathore,,Datia
290,K S Radhakrishnan,,Dewas
291,K Singh,,Dhar
292,K Sukumaran,,Dindori
293,K Surendra Mohan,,Guna
294,K T Sankaran,,Gwalior
295,K Vaidya,,Harda
296,K Vastava,,Hoshangabad
297,K Venkataraman,,Indore
298,K Venkataswami,,Jabalpur
299,K Vidya,,Jhabua
300,Kailash Gambhir,,Katni
301,Kanwaljit Singh Ahluwalia,,Khandwa (East Nimar)
302,Kishore Kumar,,Khargone (West Nimar)
303,Kishore Kumar Mandal,,Maihar
304,Krishn Kumar Lahoti,,Mandla
305,Krishna S Dixit,,Mandsaur
306,Krishnan Ramasamy,,Morena
307,Kuldip Singh,,Narsinghpur
