Sl_No,Kanoon_id,date
332,54199072,26-Dec-12
333,113458461,10-Jul-19
334,106153621,21-Dec-17
335,68184446,23-Dec-19
336,171714790,31-Aug-18
337,14973654,29-Sep-16
338,234175,25-Jul-02
339,104906080,13-Jan-12
340,183207845,08-Apr-16
341,616740,07-Aug-85
342,139508491,14-Jan-15
343,117806098,26-Apr-18
344,1220712,25-Apr-11
345,1657323,27-Jan-95
346,913452,18-Jun-19
347,151188745,07-Jul-14
348,101490786,26-Aug-19
349,111791453,27-Nov-18
350,53265783,15-Nov-17
351,176673205,18-Dec-18
352,91075369,10-Aug-15
353,741052,12-Aug-09
354,145137653,06-Dec-13
355,876164,01-Dec-00
356,117093610,26-Dec-12
357,193248305,04-May-16
358,190928805,10-Apr-19
359,107986850,28-Feb-17
360,16960100,19-Jul-16
361,135587895,24-Jul-14
362,172878911,25-Jan-18
363,190900278,28-May-14
364,83587094,17-Apr-15
365,1238478,20-Jan-09
366,1618147,14-Mar-05
367,1577991,14-Feb-94
368,146891115,06-Mar-19
369,94317693,06-Dec-13
370,719403,11-Jun-90
371,6290637,23-Jul-13
372,105983918,12-Oct-11
373,44090263,26-Dec-12
374,1546635,12-Jan-87
375,116930134,13-Aug-20
376,4899114,12-Jan-16
377,88997599,10-Aug-20
378,147925760,23-Jan-12
379,186791667,04-Jan-19
380,106035302,09-Jul-15
381,116650311,03-Mar-11
382,21592492,09-May-13
383,181718432,22-May-17
384,189912804,02-Dec-16
385,1543623,01-Dec-00
386,53931301,16-Mar-18
387,119657467,19-Jul-16
388,115682942,28-Aug-18
389,23869079,27-Oct-16
390,121077317,22-Apr-14
391,197772474,06-Jan-20
392,69064682,06-Sep-18
393,33460316,08-Jun-18
394,1058766,05-Jan-07
395,171705075,06-Jul-19
396,76637353,05-Dec-17
397,1607205,01-Sep-08
398,153518132,17-Jun-11
399,1032625,10-Apr-07
400,1648401,08-Apr-99
401,87509746,26-Aug-19
402,19063260,20-Aug-10
403,198473287,30-Aug-19
404,142826705,01-Jul-13
405,68036646,01-Aug-11
406,101395842,28-Mar-12
407,139290025,07-Jun-19
408,160934727,20-Jun-16
409,73077916,06-Sep-14
410,63398356,09-Apr-13
411,180734835,04-Jan-16
412,49039158,11-Oct-13
413,1569,30-Jul-09
414,20982084,13-Jul-16
415,1150289,24-Jan-94
416,125798491,01-Mar-13
417,178108048,20-Aug-19
418,90704968,18-Aug-20
419,155329539,31-May-17
420,180993556,11-Nov-13
421,132706439,12-Mar-15
422,75454078,12-Apr-19
423,52604679,21-Apr-14
424,177665833,10-Feb-16
425,60643309,09-May-18
426,10338610,22-Jan-10
427,54993525,17-Nov-14
428,86660742,09-May-13
429,58786397,29-Sep-16
430,1962096,20-Oct-09
431,625077,29-Aug-96
432,62550860,11-Sep-12
433,189834703,18-Feb-13
434,76126349,09-Mar-18
435,153813687,22-Apr-19
436,115294621,13-Sep-17
437,62926902,23-Jul-10
438,472216,04-Jan-08
439,14133251,29-Sep-16
440,519514,02-Jul-97
441,181660787,22-Jul-14
442,78695684,15-Apr-10
443,24040188,17-Apr-17
444,580827,25-Aug-05
445,160136551,12-May-15
446,62863148,26-Apr-13
447,17412822,29-Jul-19
448,150445583,04-Dec-19
449,47008420,20-Sep-16
450,910567,09-Apr-10
451,69601707,20-Oct-09
452,85178995,11-Aug-14
453,998721,18-Apr-96
454,197329301,28-Apr-17
455,140826346,22-Jul-19
456,128043853,26-Sep-18
457,76264550,06-Feb-14
458,15133180,08-Jun-18
459,82427139,24-Oct-13
460,1832962,15-Feb-10
461,977238,09-Feb-07
462,41759597,16-Dec-14
463,25966316,20-Mar-18
464,89086622,05-Jan-18
465,79587908,07-Oct-16
466,194677616,03-Feb-11
467,1387704,15-Sep-92
468,54051940,13-Sep-12
469,175309015,19-Aug-15
470,85817568,30-Jul-18
471,58889970,01-Mar-13
472,29738596,05-Apr-19
473,185663779,16-Jun-20
474,82693444,16-Jun-14
475,168610061,30-Sep-16
476,618771,02-May-91
477,199610,10-Mar-05
478,40109720,24-Feb-20
479,82089810,11-Jun-14
480,47265660,16-May-19
481,47280478,14-Dec-18
482,63467540,22-Jul-13
483,1520538,04-May-83
484,875967,21-Sep-89
485,1242032,07-Oct-10
486,1387985,09-Jun-04
487,252884,24-Nov-04
488,50910024,16-Feb-16
489,182233268,23-Apr-18
490,1830087,24-Jan-03
491,1000673,23-Oct-07
492,122790471,19-Mar-12
493,82201393,11-Jan-19
494,86590276,08-May-19
495,61155184,17-Nov-15
496,14123714,04-Sep-18
497,1066877,21-Jan-10
498,139649278,14-Aug-18
499,72251963,05-Feb-18
500,156928851,10-Feb-10
501,138053554,12-Aug-13
502,1918380,22-Nov-91
503,167818082,23-Apr-18
504,149064586,22-Mar-16
505,3521825,07-Sep-16
506,86368834,20-Jan-14
507,28619795,26-Mar-18
508,1117405,13-Jul-89
509,102466275,08-Sep-11
510,46514517,14-May-19
511,998978,14-Dec-10
512,18273157,17-Apr-17
513,131238964,19-May-20
514,22466051,07-Feb-17
515,67322213,25-Sep-13
516,1863641,27-Jan-95
517,182225619,03-May-18
518,1859293,28-Oct-96
519,126942623,18-Feb-19
520,1186623,18-Sep-08
521,92921,03-Nov-92
522,51170835,03-Jun-16
523,255835,19-Apr-19
524,979716,05-Jan-07
525,1575917,04-Sep-89
526,62549836,10-Dec-14
527,184254528,07-Oct-16
528,63996750,23-Aug-16
529,87710388,11-Sep-12
530,138503877,07-May-14
531,1163016,14-Aug-07
532,167264168,20-Feb-18
533,1299151,06-Nov-07
534,1977090,11-Mar-91
535,251686,19-Nov-82
536,1595125,16-Aug-10
